Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (¼C),WSR (km/h),WDR (azimutal)
2022-01-19 06:00:00,1.09,47.4,53.5,100.8,5,183,43,711.3,0,42,7.9,0,14.49,4.5,236
2022-01-19 12:00:00,0.59,20.1,16.7,36.8,25,104,15,712.5,0,15,5,0.357,28.7,19.5,301
2022-01-19 18:00:00,0.81,23.8,36.5,60.2,15,18,17,709.7,0,10,5.2,0.072,31.07,6.5,328
2022-01-20 00:00:00,0.71,17.6,33.6,51.2,16,55,2,713.7,0,28,5.9,0,21.66,7.8,28
2022-01-20 06:00:00,0.51,15.3,16.3,31.6,24,187,5,715.8,0,38,5.4,0,15.51,14.3,5
2022-01-20 12:00:00,0.78,41.3,20.8,62.1,19,129,12,720,0,35,5.8,0.246,11.26,17.7,16
2022-01-20 18:00:00,0.87,50.7,22.5,73.2,14,111,11,718.9,0,35,6.8,0.021,8.5,16,22
2022-01-21 00:00:00,0.43,12.3,17.4,29.7,18,45,2,721.6,0,37,4.18,0,5.36,8.7,40
2022-01-21 06:00:00,0.52,24.8,18.5,43.3,12,19,2,720.8,0.01,84,4.9,0,1.55,10.8,22
2022-01-21 12:00:00,1.02,54.1,26,80.1,11,79,16,722.1,0,69,5.6,0.114,4.14,6.4,25
2022-01-21 18:00:00,0.95,28.7,38.9,67.5,8,65,26,719,0,58,5.8,0.027,7.93,6.9,80
2022-01-22 00:00:00,0.58,10.9,21.6,32.5,8,57,30,720.4,0,76,25.2,0,5.12,6.2,62
2022-01-22 06:00:00,0.59,25.1,24.8,49.9,10,57,17,719.6,0,63,14,0,5.14,6,42
2022-01-22 12:00:00,1.18,61.3,36.1,97.4,8,78,39,722,0,83,19.3,0.059,5.41,4.5,12
2022-01-22 18:00:00,0.81,26,30,56,10,21,5,719.8,0.02,88,5.3,0.007,6.56,6.2,55
2022-01-23 00:00:00,0.71,25.8,24.8,50.6,5,18,7,720.7,0.02,90,5.1,0,6.32,6.9,22
2022-01-23 06:00:00,0.58,13.6,15.1,28.7,12,11,3,718.8,0,91,4.7,0,6.15,6.8,29
2022-01-23 12:00:00,0.71,22.7,18.1,40.9,15,15,7,719.6,0,90,2.72,0.09,6.86,9.2,18
2022-01-23 18:00:00,1.07,38.2,32.1,70.2,7,57,19,715.6,0,88,3.58,0.005,8.29,5.9,38
2022-01-24 00:00:00,0.77,9.3,21.6,30.9,9,22,18,714.2,0.01,90,6.3,0,8.21,3.4,55
2022-01-24 06:00:00,0.9,57.1,23.6,80.7,4,23,15,711.8,0.01,91,5.1,0,8.56,2.9,354
2022-01-24 12:00:00,1.6,94,24.5,118.2,5,98,24,712.4,0,88,5.8,0.057,9.52,5.1,10
2022-01-24 18:00:00,2.24,74.6,40.7,115.3,5,164,68,709.5,0,76,6,0.012,13.74,4.8,215
2022-01-25 00:00:00,3.53,253.2,40.7,293.8,4,301,64,711.9,0,83,6.8,0,12.88,2.8,179
2022-01-25 06:00:00,1.56,95.9,24.8,120.8,3,105,25,712.1,0,87,5.5,0,10.38,3.5,252
2022-01-25 12:00:00,1.95,64.6,62.9,127.4,17,93,62,713.7,0,50,7.6,0.371,20.1,7.5,45
2022-01-25 18:00:00,0.81,6.7,37.9,44.5,43,67,18,711.7,0,33,15.7,0.072,22.18,10.8,96
2022-01-26 00:00:00,0.68,6.6,22.5,29.1,23,39,3,715.5,0,73,4.8,0,13.71,10.4,73
2022-01-26 06:00:00,0.65,9.4,23.2,32.5,17,26,12,716.5,0,90,7.2,0,11.01,7.4,78
2022-01-26 12:00:00,0.82,16.7,24.6,41.3,15,22,9,718.5,0,88,5.4,0.068,11.73,7.3,86
2022-01-26 18:00:00,0.83,14.8,27,41.8,13,31,10,716.5,0,84,5.8,0.009,12.25,6.9,84
2022-01-27 00:00:00,1.04,34.7,36.8,71.5,5,51,9,717.7,0.01,87,4.8,0,12.46,6.1,35
2022-01-27 06:00:00,0.81,35,22,57,7,29,10,717.3,0.01,91,4.7,0,12.1,7.2,17
2022-01-27 12:00:00,0.99,27.7,26.5,54.2,10,27,12,718.2,0,90,5.5,0.071,13.19,5.4,70
2022-01-27 18:00:00,1.54,65.9,35.5,101.4,6,104,37,716.2,0,86,6.1,0.004,13.72,6.7,42
2022-01-28 00:00:00,0.95,39.7,22.8,62.5,4,64,16,717.8,0,89,5,0,13.12,5.6,34
2022-01-28 06:00:00,0.69,21.9,13.4,35.3,12,13,4,719.1,0.01,90,3.82,0,12.34,11.6,2
2022-01-28 12:00:00,1,47.2,28.2,75.4,14,29,4,725.9,0,86,4.6,0.049,9.29,16.1,22
2022-01-28 18:00:00,1.34,90.3,28.5,118.4,6,107,18,724.5,0,80,4.32,0.014,8.54,9.4,13
2022-01-29 00:00:00,0.71,24.8,23.4,48.2,6,65,12,725.4,0,79,4.5,0,8.06,3.4,29
2022-01-29 06:00:00,0.85,65.7,25.8,91.5,4,38,17,723.6,0,78,4.8,0,8.06,6.1,25
2022-01-29 12:00:00,0.68,10.5,16.2,26.7,38,41,8,723.2,0,34,4.7,0.396,14.11,10.1,94
